user_id,age,sex,occupation,zip_code
1,24,M,technician,85711
2,53,F,other,94043
6,42,M,executive,98101
7,57,M,administrator,91344
8,36,M,administrator,05201
10,53,M,lawyer,90703
12,28,F,other,06405
13,47,M,educator,29206
14,45,M,scientist,55106
16,21,M,entertainment,10309
17,30,M,programmer,06355
18,35,F,other,37212
19,40,M,librarian,02138
20,42,F,homemaker,95660
21,26,M,writer,30068
22,25,M,writer,40206
23,30,F,artist,48197
24,21,F,artist,94533
25,39,M,engineer,55107
26,49,M,engineer,21044
29,41,M,programmer,94043
30,7,M,student,55436
